Country Name,Country Code,2016,Total,H1B,H2A,H2B,O1-2,P1-3,L1,EB5,Other,Density(PerMIllion),Normalized - Total,Normalized - H1B,Normalized - H2A,Normalized - H2B,Normalized - O1-2,Normalized - P1-3,Normalized - L1,Normalized - EB5,Normalized - Other,Normalized - Density(PerMIllion)
Italy,ITA,60627498,49904,5925,1,1,4629,952,12874,18221,7280,82.31248467,4.698135357,3.772688355,0,0,3.665487181,2.978636948,4.109713505,4.260572208,3.862131379,1.915465711
Israel,ISR,8546000,21106,2646,-,5,1802,536,6429,2436,7252,246.9693424,4.324405934,3.42258984,-,0.698970004,3.255754787,2.72916479,3.808143426,3.386677284,3.860457795,2.392643045
Ireland,IRL,4749777,24010,3550,74,324,2278,1645,8771,3246,4122,505.497416,4.38039216,3.550228353,1.86923172,2.51054501,3.35755372,3.216165902,3.943049111,3.511348515,3.615107987,2.70371894
Iraq,IRQ,37202572,118,42,-,-,1,1,33,-,40,0.317182371,2.071882007,1.62324929,-,-,0,0,1.51851394,-,1.602059991,-0.498690959
"Iran, Islamic Rep.",IRN,80277428,465,163,-,-,40,14,43,25,180,0.579241278,2.667452953,2.212187604,-,-,1.602059991,1.146128036,1.633468456,1.397940009,2.255272505,-0.237140497
Indonesia,IDN,261115456,2211,711,-,-,97,44,582,30,747,0.846751867,3.344588743,2.851869601,-,-,1.986771734,1.643452676,2.764922985,1.477121255,2.873320602,-0.072243837
India,IND,1324171354,524414,269262,-,6,1418,2990,60521,238,189979,39.60318266,5.719674277,5.430175067,-,0.77815125,3.151676231,3.475671188,4.781906095,2.376576957,5.278705597,1.597730089
Iceland,ISL,335439,1183,245,-,-,230,1,271,1,348,352.6721699,3.072984745,2.389166084,-,-,2.361727836,0,2.432969291,0,2.541579244,2.54737119
Hungary,HUN,9814023,4298,533,3,49,393,554,1496,38,1232,43.79447654,3.633266411,2.726727209,0.477121255,1.69019608,2.59439255,2.743509765,3.174931594,1.579783597,3.090610708,1.64141934
Honduras,HND,9112867,3339,579,319,816,13,256,400,491,465,36.64049964,3.523616419,2.762678564,2.503790683,2.911690159,1.113943352,2.408239965,2.602059991,2.691081492,2.667452953,1.563961387
Haiti,HTI,10847334,883,65,65,1,36,417,10,1,285,8.140249023,2.945960704,1.812913357,1.812913357,0,1.556302501,2.620136055,1,0,2.45484486,0.910637691
Guyana,GUY,773303,127,30,-,-,-,19,6,7,65,16.42305797,2.103803721,1.477121255,-,-,-,1.278753601,0.77815125,0.84509804,1.812913357,1.215454026
Guinea,GIN,12395924,81,6,-,-,3,42,14,-,16,0.653440599,1.908485019,0.77815125,-,-,0.477121255,1.62324929,1.146128036,-,1.204119983,-0.184793886
Grenada,GRD,107317,160,71,-,-,4,18,31,25,11,149.0910107,2.204119983,1.851258349,-,-,0.602059991,1.255272505,1.491361694,1.397940009,1.041392685,2.173451459
